budget,genres,id,keywords,original_language,popularity,production_companies,production_countries,revenue,runtime,status,title,vote_average,vote_count,cast,year,director,producer
27000000,Action | Adventure | Science Fiction | Romance,79698,Action | Adventure | Science Fiction | Romance,en,2.418535,Corsan | Bliss Media | Limelight International Media Entertainment | Neelmudra Entertainment | Aristos Films | Singularity Productions | Wildkite,Australia | Belgium | India,0,109.0,Released,The Lovers,4.8,34,Josh Hartnett | Simone Kessell,2015,Roland Joffé,Paul Breuls
15000000,Action | Adventure | Drama | Horror | Science Fiction,315011,Action | Adventure | Drama | Horror | Science Fiction,ja,9.476999,Cine Bazar | Toho Pictures,Japan,77000000,120.0,Released,Shin Godzilla,6.5,143,Hiroki Hasegawa | Yutaka Takenouchi,2016,Hideaki Anno,Kazutoshi Wadakura
70000000,Adventure | Action | Animation,2310,Adventure | Action | Animation,en,35.601665,Paramount Pictures | Shangri-La Entertainment | ImageMovers | Paramount Animation,United States of America,195735876,115.0,Released,Beowulf,5.5,841,Ray Winstone | Angelina Jolie,2007,Robert Zemeckis,Robert Zemeckis
97250400,Fantasy | Adventure | Comedy | Family,2395,Fantasy | Adventure | Comedy | Family,fr,20.344364,Constantin Film | TF1 Films Productions | Pathé Renn Productions | La Petite Reine | Tri Pictures | Sorolla Films | Novo RPI | Canal+ | uFilm | Canal+ España | Le Tax Shelter du Gouvernement Fédéral de Belgique | Les Editions Albert René,Belgium | France | Germany | Italy | Spain,132900000,116.0,Released,Asterix at the Olympic Games,5.0,471,Clovis Cornillac | Gérard Depardieu,2008,Thomas Langmann,Pierre Grunstein
0,Comedy | Fantasy | Family,10588,Comedy | Fantasy | Family,en,18.251129,Imagine Entertainment | DreamWorks SKG | Universal Pictures,United States of America,0,82.0,Released,The Cat in the Hat,4.9,366,Mike Myers | Dakota Fanning,2003,Bo Welch,Eric McLeod
80000000,History | Crime | Drama,11322,History | Crime | Drama,en,33.691694,Universal Pictures | Appian Way | Forward Pass | Dentsu | Relativity Media | Tribeca Productions | Misher Films,United States of America,214104620,140.0,Released,Public Enemies,6.5,1344,Christian Bale | Johnny Depp,2009,Michael Mann,Robert De Niro
80000000,Animation | Adventure | Family | Fantasy,41216,Animation | Adventure | Family | Fantasy,en,37.321848,Village Roadshow Pictures | Warner Bros. | Animal Logic | Cruel and Unusual Films,Australia | United States of America,140073390,97.0,Released,Legend of the Guardians: The Owls of Ga'Hoole,6.5,703,Emily Barclay | Abbie Cornish,2010,Zack Snyder,Donald De Line
10000000,Crime | Drama | Mystery | Thriller,29193,Crime | Drama | Mystery | Thriller,en,3.091077,Jean Doumanian Productions | Sweetland Films | Magnolia Films | Jasmine Productions Inc.,United States of America,13835130,110.0,Released,The Spanish Prisoner,7.1,73,Steve Martin | Campbell Scott,1997,David Mamet,Letty Aronson
94000000,Drama | History | War,76758,Drama | History | War,zh,12.516546,Beijing New Picture Film Co. Ltd. | EDKO Film | New Picture Company,China | Hong Kong,95311434,145.0,Released,The Flowers of War,7.1,187,Christian Bale | Ni Ni,2011,Zhang Yimou,Zhang Weiping
85000000,Animation | Comedy | Family,9408,Animation | Comedy | Family,en,23.230851,Columbia Pictures | Sony Pictures Animation,United States of America,149044513,85.0,Released,Surf's Up,5.9,601,Shia LaBeouf | Jeff Bridges,2007,Ash Brannon,Christopher Jenkins
90000000,Action | Comedy | Science Fiction,9890,Action | Comedy | Science Fiction,en,19.224754,Paramount Pictures | De Line Pictures | DreamWorks Pictures,United States of America,102000000,93.0,Released,The Stepford Wives,5.4,334,Nicole Kidman | Matthew Broderick,2004,Frank Oz,Scott Rudin
0,Comedy,77953,Comedy,en,16.460356,Everyman Pictures | Gary Sanchez Productions | Warner Bros. | Location Gourmet,United States of America,104907746,85.0,Released,The Campaign,5.6,578,Will Ferrell | Zach Galifianakis,2012,Jay Roach,Jay Roach
95000000,Adventure | Animation | Comedy | Family,10501,Adventure | Animation | Comedy | Family,en,37.054554,DreamWorks SKG | DreamWorks Animation,United States of America,76432727,89.0,Released,The Road to El Dorado,7.0,858,Kenneth Branagh | Kevin Kline,2000,Don Michael Paul,Jeffrey Katzenberg
65000000,Fantasy | Drama,7980,Fantasy | Drama,en,29.257137,WingNut Films | DreamWorks SKG | Key Creatives | Film4 | Goldcrest Pictures | New Zealand Large Budget Screen Production Grant,United Kingdom | New Zealand | United States of America,93525586,136.0,Released,The Lovely Bones,6.6,1065,Rachel Weisz | Mark Wahlberg,2009,Peter Jackson,Tessa Ross
95000000,Adventure | Fantasy,68737,Adventure | Fantasy,en,63.628459,Legendary Pictures | Thunder Road Pictures | Outlaw Sinema | Moving Picture Company (MPC) | Pendle Mountain Productions | China Film Co.,China | Canada | United States of America | United Kingdom,114178613,102.0,Released,Seventh Son,5.2,957,Jeff Bridges | Julianne Moore,2014,Sergei Bodrov,Lionel Wigram
90000000,Adventure | Family | Fantasy,8204,Adventure | Family | Fantasy,en,21.436682,Paramount Pictures | The Kennedy/Marshall Company,United States of America,162839667,95.0,Released,The Spiderwick Chronicles,6.3,572,Freddie Highmore | Mary-Louise Parker,2008,Mark Waters,Larry J. Franco
98000000,Action | Adventure,1408,Action | Adventure,en,7.029308,Le Studio Canal+ | Laurence Mark Productions | Metro-Goldwyn-Mayer (MGM) | Carolco Pictures,France | Germany | Italy | United States of America,10017322,119.0,Released,Cutthroat Island,5.7,136,Geena Davis | Matthew Modine,1995,Renny Harlin,Mario Kassar
92000000,Action | Comedy,7446,Action | Comedy,en,43.192048,DreamWorks SKG | Goldcrest Pictures | Red Hour Films | Internationale Filmproduktion Stella-del-Sud Second,United States of America | United Kingdom | Germany,188072649,107.0,Released,Tropic Thunder,6.5,1667,Ben Stiller | Jack Black,2008,Ben Stiller,Eric McLeod
75000000,Drama | Thriller | History | War,2253,Drama | Thriller | History | War,en,38.832842,United Artists | Achte Babelsberg Film | Metro-Goldwyn-Mayer (MGM) | Bad Hat Harry Productions,Germany | United States of America,200276000,121.0,Released,Valkyrie,6.7,1173,Tom Cruise | Carice van Houten,2008,Bryan Singer,Gilbert Adler
90000000,Comedy | Action,10661,Comedy | Action,en,40.597344,Columbia Pictures | Happy Madison Productions | Sony Pictures Releasing | Relativity Media,United States of America,201596308,113.0,Released,You Don't Mess with the Zohan,5.5,1048,Adam Sandler | John Turturro,2008,Dennis Dugan,Barry Bernardi
90000000,Thriller | Fantasy | Comedy | Family | Mystery,10756,Thriller | Fantasy | Comedy | Family | Mystery,en,16.302378,Walt Disney Pictures | Gunn Films | Doom Buggy Productions,United States of America,182290266,99.0,Released,The Haunted Mansion,5.2,466,Eddie Murphy | Terence Stamp,2003,Rob Minkoff,Barry Bernardi
90000000,Drama | Science Fiction | Mystery,686,Drama | Science Fiction | Mystery,en,55.249434,Warner Bros. | South Side Amusement Company,United States of America,171120329,150.0,Released,Contact,7.2,1308,Jodie Foster | Matthew McConaughey,1997,Robert Zemeckis,Robert Zemeckis
95000000,Action | Science Fiction | Thriller,9383,Action | Science Fiction | Thriller,en,28.200874,Columbia Pictures Corporation | Global Entertainment Productions GmbH & Company Medien KG,Germany | United States of America,190213455,112.0,Released,Hollow Man,5.6,634,Kevin Bacon | Elisabeth Shue,2000,Paul Verhoeven,Douglas Wick
80000000,Crime | Thriller,179,Crime | Thriller,en,18.69984,Universal Pictures | StudioCanal | Mirage Enterprises | Working Title Films | Misher Films | Motion Picture JOTA Produktions,France | Germany | United Kingdom | United States of America,162944923,128.0,Released,The Interpreter,6.2,392,Nicole Kidman | Sean Penn,2005,Sydney Pollack,Sydney Pollack
90000000,Adventure | Family | Fantasy,76285,Adventure | Family | Fantasy,en,40.262261,1492 Pictures | Dune Entertainment | Fox 2000 Pictures | Sunswept Entertainment | Dune Entertainment III | TSG Entertainment,United States of America,174578751,106.0,Released,Percy Jackson: Sea of Monsters,5.9,1648,Logan Lerman | Alexandra Daddario,2013,Thor Freudenthal,Karen Rosenfelt
95000000,Action | Adventure | Fantasy | Thriller,1996,Action | Adventure | Fantasy | Thriller,en,56.811056,Paramount Pictures | Toho-Towa | Mutual Film Company | Lawrence Gordon Productions | British Broadcasting Corporation (BBC) | October Pictures | Eidos Interactive,United States of America | Germany | Japan | United Kingdom,156505388,117.0,Released,Lara Croft Tomb Raider: The Cradle of Life,5.5,1418,Angelina Jolie | Gerard Butler,2003,Jan de Bont,Lawrence Gordon
68000000,Thriller | Action | Romance | Science Fiction | Adventure,10003,Thriller | Action | Romance | Science Fiction | Adventure,en,20.913852,Paramount Pictures | Mace Neufeld Productions | Rysher Entertainment,United States of America,118063304,116.0,Released,The Saint,5.9,302,Val Kilmer | Elisabeth Shue,1997,Phillip Noyce,Mace Neufeld
92000000,Action | Crime | Thriller,1535,Action | Crime | Thriller,en,27.166757,Universal Pictures | Metropolitan Filmexport | Toho-Towa | Red Wagon Productions | Beacon Communications | Kalima Productions GmbH & Co. KG,United Kingdom | United States of America,143049560,126.0,Released,Spy Game,6.8,579,Robert Redford | Brad Pitt,2001,Tony Scott,Douglas Wick
