Year,CPI
1947,22.331666666666667
1948,24.045
1949,23.809166666666666
1950,24.0625
1951,25.973333333333333
1952,26.566666666666666
1953,26.768333333333334
1954,26.865
1955,26.795833333333334
1956,27.190833333333334
1957,28.113333333333333
1958,28.88083333333333
1959,29.150000000000002
1960,29.584999999999997
1961,29.901666666666667
1962,30.253333333333334
1963,30.633333333333336
1964,31.03833333333333
1965,31.528333333333332
1966,32.47083333333333
1967,33.375
1968,34.791666666666664
1969,36.68333333333333
1970,38.84166666666667
1971,40.483333333333334
1972,41.80833333333333
1973,44.425000000000004
1974,49.31666666666666
1975,53.824999999999996
1976,56.93333333333334
1977,60.61666666666667
1978,65.24166666666666
1979,72.58333333333333
1980,82.38333333333334
1981,90.93333333333334
1982,96.53333333333335
1983,99.58333333333333
1984,103.93333333333334
1985,107.60000000000001
1986,109.69166666666666
1987,113.61666666666667
1988,118.27499999999999
1989,123.94166666666666
1990,130.65833333333333
1991,136.16666666666666
1992,140.30833333333334
1993,144.475
1994,148.225
1995,152.38333333333333
1996,156.85833333333332
1997,160.525
1998,163.00833333333333
1999,166.58333333333334
2000,172.1916666666667
2001,177.04166666666666
2002,179.86666666666667
2003,184.0
2004,188.90833333333333
2005,195.26666666666665
2006,201.5583333333333
2007,207.34416666666667
2008,215.25424999999998
2009,214.56466666666665
2010,218.0761666666667
2011,224.923
2012,229.58608333333333
2013,232.95174999999998
2014,236.715
2015,237.00175000000002
2016,240.00541666666666
2017,245.121
2018,251.0995
2019,255.65258333333335
2020,258.85575
2021,270.96791666666667
2022,292.6254166666667
2023,304.70416666666665
